Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,19.3,16.9,45,ENE,9 5,11 6,1014.1,0.0,2025-10-15
11:00 pm,20.2,17.4,42,ENE,11 6,13 7,1014.4,0.0,2025-10-15
10:30 pm,20.3,17.9,42,NE,9 5,13 7,1014.8,0.0,2025-10-15
10:00 pm,21.0,18.6,40,NE,9 5,11 6,1015.1,0.0,2025-10-15
9:30 pm,18.7,17.2,46,ENE,4 2,7 4,1015.1,0.0,2025-10-15
9:00 pm,21.0,19.1,40,ESE,6 3,7 4,1015.1,0.0,2025-10-15
8:30 pm,20.4,19.7,42,CALM,0 0,0 0,1015.0,0.0,2025-10-15
8:00 pm,23.2,21.1,34,ESE,7 4,9 5,1014.9,0.0,2025-10-15
7:30 pm,23.9,22.6,32,S,2 1,7 4,1014.8,0.0,2025-10-15
7:00 pm,26.3,24.3,29,W,7 4,11 6,1014.6,0.0,2025-10-15
