Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 pm,23.4,24.8,75,NNE,9 5,19 10,1012.5,0.0,2025-10-21
5:30 pm,24.2,25.4,69,NNE,9 5,20 11,1012.2,0.0,2025-10-21
5:00 pm,25.5,25.7,55,NNE,9 5,17 9,1011.8,0.0,2025-10-21
4:30 pm,26.1,26.0,54,NE,11 6,17 9,1011.3,0.0,2025-10-21
4:00 pm,27.1,27.8,54,NE,9 5,15 8,1011.2,0.0,2025-10-21
3:30 pm,27.8,28.1,49,NE,9 5,19 10,1011.1,0.0,2025-10-21
3:00 pm,28.1,28.9,52,NE,9 5,17 9,1011.0,0.0,2025-10-21
2:30 pm,27.9,28.5,53,NE,11 6,19 10,1011.1,0.0,2025-10-21
2:00 pm,29.2,30.4,51,NNE,9 5,17 9,1011.3,0.0,2025-10-21
1:30 pm,29.4,30.5,47,NE,7 4,15 8,1011.7,0.0,2025-10-21
1:00 pm,29.6,30.3,47,NE,9 5,19 10,1011.8,0.0,2025-10-21
12:30 pm,29.7,30.8,47,NE,7 4,13 7,1012.5,0.0,2025-10-21
12:00 pm,29.1,29.9,49,NE,9 5,15 8,1012.9,0.0,2025-10-21
11:30 am,28.2,29.7,54,ENE,7 4,13 7,1013.5,0.0,2025-10-21
11:00 am,27.5,28.7,54,NE,7 4,17 9,1014.0,0.0,2025-10-21
10:30 am,27.2,27.8,53,NNE,9 5,17 9,1014.1,0.0,2025-10-21
10:00 am,27.6,28.7,51,NNW,6 3,13 7,1014.7,0.0,2025-10-21
9:30 am,26.5,26.7,51,NNE,9 5,17 9,1015.0,0.0,2025-10-21
9:00 am,25.0,25.9,60,WNW,7 4,13 7,1015.4,0.0,2025-10-21
8:30 am,25.2,26.5,60,N,6 3,13 7,1015.5,0.0,2025-10-21
8:00 am,24.4,25.2,65,NNW,9 5,19 10,1015.6,0.0,2025-10-21
7:30 am,23.6,24.8,67,N,7 4,19 10,1015.3,0.0,2025-10-21
7:00 am,22.5,24.0,74,NNW,6 3,13 7,1015.0,0.0,2025-10-21
6:30 am,21.9,23.7,75,NNE,4 2,9 5,1014.7,0.0,2025-10-21
6:00 am,20.5,22.8,84,N,2 1,7 4,1014.4,0.0,2025-10-21
5:30 am,18.7,21.3,93,CALM,0 0,0 0,1014.2,0.0,2025-10-21
5:00 am,18.7,21.1,90,CALM,0 0,0 0,1014.0,0.0,2025-10-21
4:30 am,18.8,21.2,90,CALM,0 0,2 1,1013.5,0.0,2025-10-21
4:00 am,19.0,21.4,89,CALM,0 0,2 1,1013.5,0.0,2025-10-21
3:30 am,18.9,21.3,89,CALM,0 0,0 0,1013.5,0.0,2025-10-21
3:00 am,19.6,22.2,87,CALM,0 0,0 0,1013.7,0.0,2025-10-21
2:30 am,20.3,22.5,84,NW,2 1,6 3,1013.9,0.0,2025-10-21
2:00 am,20.3,22.5,84,NNW,2 1,6 3,1013.8,0.0,2025-10-21
1:30 am,20.8,22.3,82,NNW,6 3,9 5,1014.1,0.0,2025-10-21
1:00 am,20.9,22.4,82,NW,6 3,9 5,1014.4,0.0,2025-10-21
12:30 am,21.3,23.3,81,NNW,4 2,7 4,1014.7,0.0,2025-10-21
12:00 am,21.5,23.5,80,N,4 2,13 7,1014.9,0.0,2025-10-21
