Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,16.1,15.0,77,ESE,9 5,11 6,1015.6,0.0,2023-12-17
11:00 pm,17.0,16.3,73,SSE,7 4,13 7,1015.1,0.0,2023-12-17
10:30 pm,17.7,15.6,71,E,15 8,22 12,1014.8,0.0,2023-12-17
10:00 pm,17.9,14.9,71,E,20 11,30 16,1014.3,0.0,2023-12-17
9:30 pm,18.4,14.1,71,E,28 15,35 19,1014.0,0.0,2023-12-17
9:00 pm,18.8,15.3,71,E,24 13,35 19,1013.7,0.0,2023-12-17
8:30 pm,19.5,16.0,68,E,24 13,32 17,1013.3,0.0,2023-12-17
8:00 pm,20.5,17.5,65,E,22 12,33 18,1013.2,0.0,2023-12-17
7:30 pm,21.9,18.5,60,E,24 13,32 17,1013.0,0.0,2023-12-17
7:00 pm,23.2,19.1,56,E,28 15,37 20,1011.9,0.0,2023-12-17
6:30 pm,26.7,22.6,27,NNW,17 9,26 14,1011.0,0.0,2023-12-17
6:00 pm,26.8,22.8,28,NW,17 9,26 14,1010.5,0.0,2023-12-17
5:30 pm,26.9,23.5,23,NW,11 6,17 9,1010.1,0.0,2023-12-17
5:00 pm,26.8,23.9,24,NNW,9 5,17 9,1010.3,0.0,2023-12-17
4:30 pm,26.8,23.6,25,NW,11 6,19 10,1010.4,0.0,2023-12-17
4:00 pm,27.0,22.8,29,NW,19 10,30 16,1010.5,0.0,2023-12-17
3:30 pm,26.7,22.5,23,NNW,15 8,26 14,1010.8,0.0,2023-12-17
3:00 pm,26.5,23.2,28,N,13 7,20 11,1011.0,0.0,2023-12-17
2:30 pm,25.8,22.8,28,W,11 6,22 12,1011.6,0.0,2023-12-17
2:00 pm,26.1,23.5,35,WNW,13 7,26 14,1011.9,0.0,2023-12-17
1:30 pm,25.0,21.9,36,W,15 8,30 16,1012.2,0.0,2023-12-17
1:00 pm,24.2,22.4,35,NNE,7 4,13 7,1012.5,0.0,2023-12-17
12:30 pm,23.5,21.4,38,WNW,9 5,19 10,1012.7,0.0,2023-12-17
12:00 pm,23.2,20.8,43,N,13 7,19 10,1013.0,0.0,2023-12-17
11:30 am,22.8,20.3,43,N,13 7,20 11,1013.5,0.0,2023-12-17
11:00 am,22.0,20.4,47,NNE,9 5,15 8,1013.8,0.0,2023-12-17
10:30 am,20.5,18.6,53,N,11 6,19 10,1014.0,0.0,2023-12-17
10:00 am,20.0,19.3,58,SSW,6 3,11 6,1014.0,0.0,2023-12-17
9:30 am,19.1,18.4,63,SE,7 4,13 7,1014.1,0.0,2023-12-17
9:00 am,18.4,17.5,69,SW,9 5,13 7,1014.1,0.0,2023-12-17
8:41 am,17.6,16.8,74,SSW,9 5,13 7,1014.1,0.0,2023-12-17
8:30 am,17.1,17.5,75,SSE,2 1,11 6,1014.0,0.0,2023-12-17
8:00 am,16.8,15.8,75,SSW,9 5,13 7,1013.8,0.0,2023-12-17
7:30 am,16.4,15.6,79,SE,9 5,15 8,1013.6,0.0,2023-12-17
