Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
4:00 pm,17.1,14.1,54,NNE,13 7,24 13,1017.9,0.0,2025-07-05
3:30 pm,17.1,13.8,55,NNE,15 8,22 12,1017.9,0.0,2025-07-05
3:00 pm,17.7,13.9,52,NNE,17 9,30 16,1017.7,0.0,2025-07-05
2:30 pm,17.7,15.2,53,NNE,11 6,22 12,1018.2,0.0,2025-07-05
2:00 pm,17.5,14.5,53,N,13 7,26 14,1018.5,0.0,2025-07-05
1:30 pm,18.3,15.1,53,NNE,15 8,22 12,1018.8,0.0,2025-07-05
1:00 pm,17.6,14.0,54,NNE,17 9,28 15,1019.2,0.0,2025-07-05
12:30 pm,17.2,13.9,55,NNE,15 8,24 13,1019.7,0.0,2025-07-05
12:00 pm,16.5,13.0,54,NNE,15 8,26 14,1020.4,0.0,2025-07-05
11:30 am,16.3,13.1,53,NNE,13 7,24 13,1021.2,0.0,2025-07-05
11:00 am,15.5,12.0,58,NNE,15 8,22 12,1021.8,0.0,2025-07-05
10:30 am,14.3,11.5,61,N,11 6,19 10,1021.9,0.0,2025-07-05
10:00 am,13.8,11.6,67,NNE,9 5,15 8,1022.2,0.0,2025-07-05
9:30 am,12.9,10.1,67,NE,11 6,17 9,1022.2,0.0,2025-07-05
9:00 am,11.8,9.7,71,NE,7 4,13 7,1022.2,0.0,2025-07-05
8:30 am,11.1,8.5,72,NE,9 5,13 7,1022.2,0.0,2025-07-05
8:00 am,10.5,8.4,77,NNE,7 4,11 6,1021.9,0.0,2025-07-05
7:30 am,9.6,8.2,85,NE,4 2,7 4,1021.5,0.0,2025-07-05
7:00 am,9.7,9.0,83,CALM,0 0,6 3,1021.3,0.0,2025-07-05
6:30 am,9.5,8.9,87,CALM,0 0,0 0,1021.3,0.0,2025-07-05
6:00 am,9.3,8.6,85,CALM,0 0,0 0,1021.1,0.0,2025-07-05
5:30 am,9.1,7.7,88,NE,4 2,7 4,1021.2,0.0,2025-07-05
5:00 am,8.7,6.9,90,NE,6 3,7 4,1021.4,0.0,2025-07-05
4:30 am,8.1,7.5,94,CALM,0 0,0 0,1021.5,0.0,2025-07-05
4:00 am,7.7,6.6,96,NE,2 1,6 3,1021.6,0.0,2025-07-05
3:30 am,7.3,6.5,96,CALM,0 0,2 1,1021.7,0.0,2025-07-05
3:00 am,7.1,6.3,97,CALM,0 0,7 4,1022.0,0.0,2025-07-05
2:30 am,7.1,6.3,97,CALM,0 0,0 0,1022.1,0.0,2025-07-05
2:00 am,7.5,6.8,97,CALM,0 0,0 0,1022.4,0.0,2025-07-05
1:30 am,7.6,6.9,95,CALM,0 0,0 0,1022.1,0.0,2025-07-05
1:00 am,7.8,7.0,93,CALM,0 0,0 0,1022.2,0.0,2025-07-05
12:30 am,8.3,7.6,90,CALM,0 0,6 3,1022.2,0.0,2025-07-05
12:00 am,8.9,8.3,90,CALM,0 0,0 0,1022.2,0.0,2025-07-05
