Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,16.3,14.5,54,NE,6 3,9 5,1002.7,0.4,2025-10-16
11:00 pm,16.3,14.3,55,ESE,7 4,11 6,1002.9,0.4,2025-10-16
10:30 pm,16.4,14.1,56,N,9 5,13 7,1003.0,0.4,2025-10-16
10:00 pm,17.2,12.4,53,N,22 12,39 21,1002.7,0.4,2025-10-16
9:30 pm,17.8,14.8,52,N,13 7,28 15,1002.4,0.4,2025-10-16
9:00 pm,17.9,15.8,53,NNW,9 5,13 7,1002.2,0.4,2025-10-16
8:30 pm,18.5,14.4,50,NNW,19 10,30 16,1001.5,0.4,2025-10-16
8:00 pm,19.1,14.0,48,N,24 13,43 23,1000.7,0.4,2025-10-16
7:30 pm,19.6,13.5,48,NNW,30 16,59 32,999.9,0.4,2025-10-16
7:00 pm,20.1,12.3,46,NNW,39 21,57 31,999.6,0.4,2025-10-16
6:30 pm,20.0,12.9,46,NW,35 19,54 29,999.4,0.4,2025-10-16
6:00 pm,20.8,11.8,41,NW,44 24,70 38,999.1,0.4,2025-10-16
5:30 pm,21.3,10.8,40,NNW,52 28,78 42,999.1,0.4,2025-10-16
5:00 pm,20.4,11.9,47,NW,43 23,65 35,999.4,0.4,2025-10-16
4:33 pm,20.7,14.1,50,NNW,35 19,57 31,1000.4,0.4,2025-10-16
4:30 pm,20.7,14.5,50,NNW,33 18,50 27,1000.5,0.4,2025-10-16
4:02 pm,20.8,14.6,48,NNW,32 17,56 30,1001.0,0.2,2025-10-16
4:00 pm,20.6,14.6,51,NNW,32 17,46 25,1000.9,0.2,2025-10-16
3:32 pm,22.9,17.0,37,NW,28 15,50 27,1001.8,0.0,2025-10-16
3:30 pm,23.4,16.9,34,NW,30 16,46 25,1001.8,0.0,2025-10-16
3:00 pm,25.3,16.8,27,NW,39 21,65 35,1001.7,0.0,2025-10-16
2:30 pm,26.5,16.9,24,NNW,44 24,70 38,1000.8,0.0,2025-10-16
2:00 pm,26.3,14.6,23,NW,54 29,83 45,1001.2,0.0,2025-10-16
1:54 pm,26.7,16.5,22,NW,46 25,83 45,1001.2,0.0,2025-10-16
1:39 pm,26.8,18.8,23,NNW,35 19,65 35,1001.1,0.0,2025-10-16
1:30 pm,26.8,17.4,24,N,43 23,69 37,1001.2,0.0,2025-10-16
1:00 pm,27.1,20.0,22,N,30 16,57 31,1002.0,0.0,2025-10-16
12:30 pm,26.1,18.4,23,N,33 18,57 31,1002.9,0.0,2025-10-16
12:11 pm,25.9,20.0,24,N,24 13,56 30,1003.6,0.0,2025-10-16
12:00 pm,23.5,20.6,34,ENE,11 6,19 10,1004.2,0.0,2025-10-16
11:30 am,22.7,18.6,34,N,17 9,28 15,1005.1,0.0,2025-10-16
11:00 am,20.5,15.7,36,N,19 10,32 17,1006.2,0.0,2025-10-16
10:30 am,18.5,12.8,41,N,24 13,32 17,1006.8,0.0,2025-10-16
10:00 am,16.5,11.1,45,N,22 12,33 18,1007.4,0.0,2025-10-16
9:30 am,13.5,8.3,58,N,22 12,32 17,1008.3,0.0,2025-10-16
9:00 am,12.6,6.6,61,N,26 14,35 19,1008.7,0.0,2025-10-16
8:30 am,12.4,6.0,61,N,28 15,39 21,1009.1,0.0,2025-10-16
8:00 am,11.8,5.7,62,N,26 14,35 19,1009.6,0.0,2025-10-16
7:30 am,11.2,5.8,64,N,22 12,30 16,1010.0,0.0,2025-10-16
