Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
7:00 pm,15.4,13.5,60,ESE,7 4,9 5,1027.2,0.0,2024-04-04
6:30 pm,15.6,13.6,56,ESE,7 4,9 5,1026.8,0.0,2024-04-04
6:00 pm,15.6,13.7,58,ESE,7 4,9 5,1026.5,0.0,2024-04-04
5:30 pm,16.0,13.6,56,ESE,9 5,13 7,1026.3,0.0,2024-04-04
5:00 pm,16.1,13.7,54,E,9 5,13 7,1026.1,0.0,2024-04-04
4:30 pm,16.3,14.0,55,ESE,9 5,13 7,1026.0,0.0,2024-04-04
4:00 pm,16.4,13.6,53,ESE,11 6,15 8,1026.0,0.0,2024-04-04
3:30 pm,16.7,13.9,53,ESE,11 6,15 8,1026.0,0.0,2024-04-04
3:00 pm,16.8,14.3,51,SE,9 5,11 6,1025.9,0.0,2024-04-04
2:30 pm,16.5,14.0,52,SE,9 5,13 7,1026.2,0.0,2024-04-04
2:00 pm,16.0,13.0,51,SE,11 6,15 8,1026.5,0.0,2024-04-04
1:30 pm,16.6,14.0,50,ENE,9 5,13 7,1026.6,0.0,2024-04-04
1:00 pm,17.4,14.4,47,NE,11 6,17 9,1026.7,0.0,2024-04-04
12:30 pm,16.9,13.1,48,NE,15 8,20 11,1026.8,0.0,2024-04-04
12:00 pm,17.2,13.5,48,NNE,15 8,22 12,1026.7,0.0,2024-04-04
11:30 am,15.8,12.2,49,NE,13 7,17 9,1026.6,0.0,2024-04-04
11:00 am,15.5,12.6,49,NNE,9 5,15 8,1026.8,0.0,2024-04-04
10:30 am,14.9,12.2,53,NNW,9 5,15 8,1027.0,0.0,2024-04-04
10:00 am,13.4,10.0,60,NNW,13 7,17 9,1026.8,0.0,2024-04-04
9:30 am,11.9,8.0,64,NNW,15 8,22 12,1026.6,0.0,2024-04-04
9:00 am,11.0,8.8,69,NNW,6 3,13 7,1026.4,0.0,2024-04-04
8:30 am,8.7,6.4,76,WNW,6 3,9 5,1026.3,0.0,2024-04-04
8:00 am,7.2,4.2,80,WSW,9 5,13 7,1026.0,0.0,2024-04-04
7:30 am,6.9,3.9,81,W,9 5,13 7,1025.7,0.0,2024-04-04
7:00 am,7.1,4.4,80,WNW,7 4,13 7,1025.3,0.0,2024-04-04
6:30 am,8.1,5.0,74,N,9 5,13 7,1025.1,0.0,2024-04-04
6:00 am,7.9,4.9,76,W,9 5,13 7,1024.9,0.0,2024-04-04
5:30 am,7.7,5.0,77,W,7 4,11 6,1024.4,0.0,2024-04-04
5:00 am,7.6,4.9,76,NW,7 4,13 7,1024.3,0.0,2024-04-04
4:30 am,7.5,5.0,78,W,6 3,11 6,1024.4,0.0,2024-04-04
4:00 am,7.1,4.0,78,WSW,9 5,15 8,1024.2,0.0,2024-04-04
3:30 am,7.5,4.4,76,W,9 5,11 6,1024.3,0.0,2024-04-04
3:00 am,7.8,4.7,76,NW,9 5,13 7,1024.3,0.0,2024-04-04
2:30 am,7.0,3.4,76,WSW,11 6,17 9,1024.4,0.0,2024-04-04
2:00 am,7.3,4.5,74,W,7 4,13 7,1024.2,0.0,2024-04-04
1:30 am,7.5,4.3,72,W,9 5,13 7,1024.1,0.0,2024-04-04
1:00 am,8.2,5.9,69,SW,4 2,11 6,1024.0,0.0,2024-04-04
12:30 am,8.0,4.7,68,WSW,9 5,15 8,1024.0,0.0,2024-04-04
12:00 am,8.2,5.5,68,WNW,6 3,11 6,1024.1,0.0,2024-04-04
