Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
4:00 pm,22.0,20.9,46,SW,6 3,9 5,1021.8,0.0,2023-08-06
3:30 pm,21.8,20.0,45,SW,9 5,13 7,1021.9,0.0,2023-08-06
3:00 pm,21.5,20.0,45,SW,7 4,11 6,1022.0,0.0,2023-08-06
2:30 pm,21.5,19.6,45,S,9 5,11 6,1022.1,0.0,2023-08-06
2:00 pm,21.2,19.6,45,SE,7 4,11 6,1022.4,0.0,2023-08-06
1:30 pm,21.1,20.2,47,SE,4 2,9 5,1022.6,0.0,2023-08-06
1:00 pm,20.0,18.6,48,SE,6 3,9 5,1023.0,0.0,2023-08-06
12:30 pm,19.4,17.8,47,SE,6 3,11 6,1023.6,0.0,2023-08-06
12:00 pm,19.0,17.8,49,SE,4 2,11 6,1024.1,0.0,2023-08-06
11:30 am,18.3,17.2,53,SE,4 2,7 4,1024.4,0.0,2023-08-06
11:00 am,17.6,16.7,53,SE,2 1,7 4,1024.8,0.0,2023-08-06
10:30 am,16.0,14.0,56,SE,7 4,9 5,1025.2,0.0,2023-08-06
10:00 am,14.5,12.7,61,SE,6 3,11 6,1025.2,0.0,2023-08-06
9:30 am,13.1,11.1,67,SE,7 4,11 6,1025.4,0.0,2023-08-06
9:00 am,11.5,9.7,79,SE,7 4,11 6,1025.4,0.0,2023-08-06
8:30 am,8.5,7.8,99,SE,2 1,6 3,1025.5,0.0,2023-08-06
8:00 am,6.2,5.3,99,CALM,0 0,0 0,1025.5,0.0,2023-08-06
7:30 am,4.8,3.6,99,CALM,0 0,0 0,1025.5,0.0,2023-08-06
7:00 am,4.7,3.5,99,CALM,0 0,0 0,1025.4,0.0,2023-08-06
6:30 am,4.9,3.7,99,CALM,0 0,0 0,1025.2,0.0,2023-08-06
6:00 am,4.8,3.6,98,CALM,0 0,0 0,1025.0,0.0,2023-08-06
5:30 am,5.0,3.8,98,CALM,0 0,0 0,1024.8,0.0,2023-08-06
5:00 am,5.5,4.4,98,CALM,0 0,0 0,1024.7,0.0,2023-08-06
4:30 am,5.5,4.4,98,CALM,0 0,0 0,1024.6,0.0,2023-08-06
4:00 am,5.7,4.6,97,CALM,0 0,0 0,1024.6,0.0,2023-08-06
3:30 am,5.9,4.9,97,CALM,0 0,0 0,1024.9,0.0,2023-08-06
3:00 am,6.0,5.0,96,CALM,0 0,0 0,1024.9,0.0,2023-08-06
2:30 am,6.4,5.4,96,CALM,0 0,0 0,1025.1,0.0,2023-08-06
2:00 am,6.5,5.5,95,CALM,0 0,0 0,1025.1,0.0,2023-08-06
1:30 am,6.9,6.0,94,CALM,0 0,0 0,1025.4,0.0,2023-08-06
1:00 am,7.1,6.2,93,CALM,0 0,0 0,1025.7,0.0,2023-08-06
12:30 am,7.5,6.7,93,CALM,0 0,0 0,1025.9,0.0,2023-08-06
12:00 am,7.9,7.1,92,CALM,0 0,0 0,1026.1,0.0,2023-08-06
