Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.9,11.3,66,SE,11 6,15 8,1023.6,0.0,2023-11-04
11:00 pm,14.0,11.3,65,SE,11 6,19 10,1023.7,0.0,2023-11-04
10:30 pm,13.8,11.5,65,SE,9 5,17 9,1023.9,0.0,2023-11-04
10:00 pm,13.7,11.0,65,SE,11 6,19 10,1024.0,0.0,2023-11-04
9:30 pm,13.6,10.9,65,SSE,11 6,19 10,1023.8,0.0,2023-11-04
9:00 pm,13.7,10.9,64,SSE,11 6,17 9,1023.6,0.0,2023-11-04
8:30 pm,14.3,11.4,60,SSE,11 6,20 11,1023.3,0.0,2023-11-04
8:00 pm,15.0,12.1,57,SE,11 6,22 12,1023.2,0.0,2023-11-04
7:30 pm,15.9,13.0,53,SSE,11 6,24 13,1023.0,0.0,2023-11-04
7:00 pm,17.3,13.6,48,SSE,15 8,24 13,1022.5,0.0,2023-11-04
6:30 pm,18.4,14.6,43,SSE,15 8,26 14,1022.1,0.0,2023-11-04
6:00 pm,19.8,16.3,39,SSE,13 7,28 15,1021.8,0.0,2023-11-04
5:30 pm,20.7,16.6,34,SE,15 8,26 14,1021.6,0.0,2023-11-04
5:00 pm,20.7,16.2,34,SSE,17 9,30 16,1021.5,0.0,2023-11-04
4:30 pm,21.7,17.5,35,SSE,17 9,30 16,1021.4,0.0,2023-11-04
4:00 pm,22.3,18.2,31,SSE,15 8,30 16,1021.4,0.0,2023-11-04
3:30 pm,22.9,18.8,30,SSE,15 8,24 13,1021.7,0.0,2023-11-04
3:00 pm,22.7,19.0,30,SSE,13 7,28 15,1021.8,0.0,2023-11-04
2:30 pm,22.9,19.6,34,SE,13 7,20 11,1022.3,0.0,2023-11-04
2:00 pm,21.7,18.5,34,E,11 6,15 8,1022.6,0.0,2023-11-04
1:30 pm,21.9,19.7,34,WSW,6 3,13 7,1023.0,0.0,2023-11-04
1:00 pm,20.4,17.1,36,NW,11 6,15 8,1023.3,0.0,2023-11-04
12:30 pm,21.1,19.1,41,NNW,7 4,9 5,1023.7,0.0,2023-11-04
12:00 pm,19.2,16.5,41,NNW,9 5,13 7,1024.0,0.0,2023-11-04
11:30 am,18.0,15.6,43,SSE,7 4,15 8,1024.4,0.0,2023-11-04
11:00 am,16.9,13.9,48,SE,11 6,20 11,1024.8,0.0,2023-11-04
10:30 am,16.3,13.0,51,SSE,13 7,24 13,1024.8,0.0,2023-11-04
10:00 am,16.3,13.3,50,SE,11 6,17 9,1024.8,0.0,2023-11-04
9:30 am,15.9,13.1,55,SE,11 6,17 9,1024.6,0.0,2023-11-04
9:00 am,14.9,12.3,56,SSE,9 5,20 11,1024.6,0.0,2023-11-04
8:30 am,14.2,11.2,58,ESE,11 6,19 10,1024.3,0.0,2023-11-04
8:00 am,13.6,10.3,62,ESE,13 7,20 11,1024.1,0.0,2023-11-04
7:30 am,12.9,10.4,66,SSE,9 5,17 9,1023.9,0.0,2023-11-04
7:00 am,12.5,10.4,68,ESE,7 4,11 6,1023.6,0.0,2023-11-04
