Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,15.4,15.4,89,N,6 3,7 4,1012.2,0.0,2025-10-03
11:00 pm,15.7,15.7,87,NNE,6 3,9 5,1012.4,0.0,2025-10-03
10:30 pm,16.2,16.0,85,NNE,7 4,9 5,1012.6,0.0,2025-10-03
10:00 pm,17.2,17.4,82,N,6 3,9 5,1012.8,0.0,2025-10-03
9:30 pm,17.6,17.8,80,NNW,6 3,9 5,1013.0,0.0,2025-10-03
9:00 pm,18.0,18.2,78,NNW,6 3,13 7,1012.9,0.0,2025-10-03
8:30 pm,18.3,18.3,77,NNW,7 4,11 6,1012.9,0.0,2025-10-03
8:00 pm,18.0,18.1,77,NNW,6 3,11 6,1012.6,0.0,2025-10-03
7:30 pm,17.9,17.8,75,N,6 3,9 5,1012.1,0.0,2025-10-03
7:00 pm,18.4,18.0,71,NNW,7 4,11 6,1011.8,0.0,2025-10-03
6:30 pm,18.7,17.8,68,NW,9 5,19 10,1011.6,0.0,2025-10-03
6:00 pm,19.1,17.9,67,NW,11 6,17 9,1011.3,0.0,2025-10-03
5:30 pm,19.6,18.5,66,NNW,11 6,17 9,1011.3,0.0,2025-10-03
5:00 pm,20.4,19.6,62,WNW,9 5,17 9,1011.5,0.0,2025-10-03
4:30 pm,20.8,19.0,58,NW,13 7,22 12,1011.5,0.0,2025-10-03
