Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,15.0,11.8,65,SE,15 8,24 13,1028.4,0.0,2023-03-20
11:00 pm,15.0,11.4,64,SE,17 9,28 15,1028.5,0.0,2023-03-20
10:30 pm,15.0,11.4,64,SE,17 9,24 13,1028.6,0.0,2023-03-20
10:00 pm,14.9,11.2,63,SE,17 9,26 14,1028.7,0.0,2023-03-20
9:30 pm,15.0,11.3,63,SE,17 9,24 13,1028.6,0.0,2023-03-20
9:00 pm,15.0,12.1,63,SE,13 7,20 11,1028.3,0.0,2023-03-20
8:30 pm,15.2,11.4,61,ESE,17 9,22 12,1027.9,0.0,2023-03-20
8:00 pm,15.2,11.6,63,SE,17 9,26 14,1027.3,0.0,2023-03-20
7:30 pm,15.4,12.7,66,SE,13 7,20 11,1027.0,0.0,2023-03-20
7:00 pm,15.6,12.0,68,SE,19 10,26 14,1026.6,0.0,2023-03-20
6:30 pm,16.2,12.4,66,ESE,20 11,30 16,1026.1,0.0,2023-03-20
6:00 pm,17.3,14.3,65,SE,17 9,24 13,1025.5,0.0,2023-03-20
5:30 pm,18.3,15.1,63,ESE,19 10,32 17,1025.1,0.0,2023-03-20
5:00 pm,18.7,13.7,61,E,28 15,35 19,1024.3,0.0,2023-03-20
4:30 pm,19.3,14.4,60,E,28 15,39 21,1024.4,0.0,2023-03-20
4:00 pm,20.4,16.0,57,ENE,26 14,35 19,1024.4,0.0,2023-03-20
3:30 pm,20.9,17.8,58,E,20 11,30 16,1024.2,0.0,2023-03-20
3:00 pm,20.9,17.2,60,E,24 13,32 17,1024.1,0.0,2023-03-20
2:30 pm,21.5,18.5,56,E,20 11,26 14,1024.3,0.0,2023-03-20
2:00 pm,21.0,17.9,57,E,20 11,26 14,1024.3,0.0,2023-03-20
1:30 pm,21.2,18.4,60,E,20 11,26 14,1024.4,0.0,2023-03-20
1:00 pm,20.5,18.6,62,SSE,15 8,20 11,1024.3,0.0,2023-03-20
12:30 pm,20.3,18.5,64,SSE,15 8,19 10,1024.4,0.0,2023-03-20
12:00 pm,19.7,17.4,65,S,17 9,22 12,1024.8,0.0,2023-03-20
11:30 am,19.4,18.4,68,SSE,11 6,15 8,1024.9,0.0,2023-03-20
11:13 am,19.2,18.3,70,SSE,11 6,17 9,1025.0,0.0,2023-03-20
11:00 am,18.5,17.1,72,SSE,13 7,17 9,1024.9,0.0,2023-03-20
10:30 am,18.0,16.6,75,SSE,13 7,19 10,1024.9,0.0,2023-03-20
10:00 am,18.2,16.5,74,S,15 8,20 11,1024.5,0.0,2023-03-20
9:30 am,18.1,16.6,72,SSE,13 7,20 11,1024.0,0.0,2023-03-20
9:00 am,17.9,16.5,75,SSE,13 7,15 8,1023.8,0.0,2023-03-20
8:30 am,17.4,16.0,78,SE,13 7,17 9,1023.3,0.0,2023-03-20
8:00 am,17.3,16.2,82,SE,13 7,24 13,1022.8,0.0,2023-03-20
7:30 am,17.2,15.4,89,ESE,19 10,26 14,1022.1,0.0,2023-03-20
