Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,15.4,13.3,99,SE,20 11,28 15,1009.8,8.6,2024-11-30
11:00 pm,15.3,12.8,99,SE,22 12,32 17,1010.5,7.2,2024-11-30
10:30 pm,15.4,12.9,99,SE,22 12,32 17,1011.1,5.8,2024-11-30
10:00 pm,15.2,13.2,99,SE,19 10,28 15,1011.6,5.6,2024-11-30
9:30 pm,15.2,13.0,99,SE,20 11,28 15,1012.0,5.4,2024-11-30
9:00 pm,15.3,13.3,98,SE,19 10,26 14,1012.7,0.6,2024-11-30
8:30 pm,15.3,13.1,97,SE,20 11,28 15,1012.9,0.0,2024-11-30
8:00 pm,15.3,12.9,95,SE,20 11,26 14,1013.1,0.0,2024-11-30
7:30 pm,15.4,13.2,93,SE,19 10,24 13,1013.5,0.0,2024-11-30
7:00 pm,15.3,13.4,93,SSE,17 9,20 11,1013.6,0.0,2024-11-30
6:30 pm,15.4,13.9,93,SE,15 8,20 11,1014.0,0.0,2024-11-30
6:00 pm,15.5,13.8,89,ESE,15 8,20 11,1014.5,0.0,2024-11-30
5:30 pm,16.0,14.2,84,ESE,15 8,20 11,1014.8,0.0,2024-11-30
5:00 pm,16.1,14.3,84,ESE,15 8,22 12,1015.1,0.0,2024-11-30
4:30 pm,16.3,14.1,82,ESE,17 9,20 11,1015.2,0.0,2024-11-30
4:00 pm,16.6,14.0,80,ESE,19 10,24 13,1015.4,0.0,2024-11-30
3:30 pm,16.7,15.4,82,SE,13 7,20 11,1016.0,0.0,2024-11-30
3:00 pm,16.9,14.7,79,E,17 9,24 13,1016.5,0.0,2024-11-30
2:30 pm,17.1,14.9,79,ESE,17 9,22 12,1016.8,0.0,2024-11-30
2:00 pm,17.1,14.8,77,SE,17 9,24 13,1017.3,0.0,2024-11-30
1:30 pm,16.8,15.2,77,SSE,13 7,20 11,1017.7,0.0,2024-11-30
1:00 pm,17.3,16.5,69,E,7 4,13 7,1018.3,0.0,2024-11-30
12:30 pm,17.2,16.7,71,E,6 3,11 6,1018.9,0.0,2024-11-30
12:00 pm,16.6,15.8,70,ENE,6 3,13 7,1019.4,0.0,2024-11-30
11:30 am,16.6,15.6,70,ENE,7 4,11 6,1019.9,0.0,2024-11-30
11:00 am,16.1,15.5,69,SE,4 2,7 4,1020.3,0.0,2024-11-30
10:30 am,16.0,15.4,70,NNE,4 2,9 5,1020.5,0.0,2024-11-30
10:00 am,15.6,14.4,70,N,7 4,13 7,1020.9,0.0,2024-11-30
9:30 am,15.3,14.2,70,N,6 3,7 4,1021.2,0.0,2024-11-30
9:00 am,15.0,13.7,71,N,7 4,9 5,1021.5,0.0,2024-11-30
8:30 am,14.8,12.6,70,N,11 6,15 8,1021.8,0.0,2024-11-30
8:00 am,14.8,13.3,69,N,7 4,9 5,1021.7,0.0,2024-11-30
7:30 am,14.6,13.0,68,N,7 4,13 7,1021.7,0.0,2024-11-30
