Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,27.2,31.4,79,N,6 3,13 7,1010.5,0.0,2024-02-23
11:00 pm,27.3,31.4,77,NNE,6 3,9 5,1010.6,0.0,2024-02-23
10:30 pm,27.5,31.6,76,NNE,6 3,15 8,1010.8,0.0,2024-02-23
10:00 pm,27.6,31.5,74,NNE,6 3,13 7,1010.9,0.0,2024-02-23
9:30 pm,27.7,31.6,74,NNE,6 3,13 7,1010.9,0.0,2024-02-23
9:00 pm,27.9,31.7,72,NNE,6 3,11 6,1011.1,0.0,2024-02-23
8:30 pm,28.1,31.7,70,NE,7 4,15 8,1010.8,0.0,2024-02-23
8:00 pm,28.3,31.9,70,NNE,7 4,17 9,1010.5,0.0,2024-02-23
7:30 pm,28.4,32.2,70,NNE,6 3,11 6,1010.3,0.0,2024-02-23
7:00 pm,28.6,32.8,72,NNE,6 3,11 6,1010.0,0.0,2024-02-23
6:30 pm,28.7,32.9,73,NNE,7 4,13 7,1009.7,0.0,2024-02-23
6:00 pm,29.1,32.9,72,NE,9 5,20 11,1009.5,0.0,2024-02-23
5:30 pm,29.6,32.7,67,NNE,11 6,17 9,1009.2,0.0,2024-02-23
5:00 pm,30.6,34.4,62,NNE,7 4,19 10,1009.0,0.0,2024-02-23
4:30 pm,32.0,35.4,58,NE,9 5,17 9,1008.7,0.0,2024-02-23
4:00 pm,32.9,37.0,56,NNE,7 4,13 7,1008.5,0.0,2024-02-23
3:30 pm,33.1,36.6,54,NE,9 5,17 9,1008.5,0.0,2024-02-23
3:00 pm,33.5,37.2,54,NE,9 5,13 7,1008.7,0.0,2024-02-23
2:30 pm,33.9,38.0,54,NE,7 4,13 7,1009.0,0.0,2024-02-23
2:00 pm,34.1,38.3,54,NE,7 4,17 9,1009.4,0.0,2024-02-23
1:30 pm,33.6,37.4,53,NNE,7 4,15 8,1009.8,0.0,2024-02-23
1:00 pm,33.6,37.7,55,NNE,7 4,11 6,1010.4,0.0,2024-02-23
12:30 pm,33.4,37.9,52,W,2 1,7 4,1011.1,0.0,2024-02-23
12:00 pm,33.3,37.3,52,NW,4 2,9 5,1011.6,0.0,2024-02-23
11:30 am,32.6,36.5,53,WSW,4 2,7 4,1012.2,0.0,2024-02-23
11:00 am,32.1,36.0,57,W,6 3,9 5,1012.8,0.0,2024-02-23
10:30 am,32.1,36.5,58,NNW,4 2,9 5,1013.2,0.0,2024-02-23
10:00 am,31.5,35.4,56,NNW,4 2,9 5,1013.4,0.0,2024-02-23
9:30 am,30.6,34.5,62,NE,6 3,9 5,1013.6,0.0,2024-02-23
9:00 am,29.7,33.9,68,ENE,6 3,9 5,1013.8,0.0,2024-02-23
8:30 am,28.6,32.9,70,NW,4 2,9 5,1013.8,0.0,2024-02-23
8:00 am,28.1,32.8,72,N,2 1,6 3,1013.8,0.0,2024-02-23
7:30 am,27.2,32.1,75,CALM,0 0,4 2,1013.7,0.0,2024-02-23
7:00 am,26.9,32.1,79,CALM,0 0,0 0,1013.5,0.0,2024-02-23
6:30 am,24.6,29.8,90,CALM,0 0,0 0,1013.2,0.0,2024-02-23
