Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,17.3,14.9,45,NW,7 4,13 7,1010.2,0.0,2025-10-10
11:00 pm,17.6,14.4,44,WNW,11 6,24 13,1010.1,0.0,2025-10-10
10:30 pm,17.7,15.2,42,NW,7 4,15 8,1009.9,0.0,2025-10-10
10:00 pm,18.3,14.3,41,NNW,15 8,26 14,1009.8,0.0,2025-10-10
9:30 pm,18.3,15.4,41,NW,9 5,19 10,1009.8,0.0,2025-10-10
9:00 pm,18.4,16.1,41,NNW,6 3,13 7,1009.5,0.0,2025-10-10
8:30 pm,19.3,16.3,37,WNW,9 5,22 12,1008.9,0.0,2025-10-10
8:00 pm,19.4,16.1,37,NW,11 6,30 16,1008.7,0.0,2025-10-10
7:30 pm,20.2,18.7,37,SSW,2 1,9 5,1008.3,0.0,2025-10-10
7:00 pm,20.5,16.7,38,NW,15 8,28 15,1008.0,0.0,2025-10-10
6:30 pm,21.5,18.0,35,W,13 7,28 15,1007.7,0.0,2025-10-10
6:00 pm,21.6,17.6,34,NW,15 8,32 17,1007.6,0.0,2025-10-10
5:30 pm,21.6,17.6,33,WNW,15 8,39 21,1007.6,0.0,2025-10-10
5:00 pm,21.3,17.0,35,NNW,17 9,32 17,1007.5,0.0,2025-10-10
4:30 pm,21.6,16.8,35,NNW,20 11,32 17,1007.3,0.0,2025-10-10
4:00 pm,21.3,15.4,36,NNW,26 14,43 23,1007.4,0.0,2025-10-10
3:30 pm,20.9,16.5,39,NNW,19 10,35 19,1007.9,0.0,2025-10-10
3:00 pm,20.5,14.4,41,NNW,28 15,50 27,1007.9,0.0,2025-10-10
2:45 pm,20.3,14.1,40,NNW,28 15,50 27,1007.9,0.0,2025-10-10
2:30 pm,20.3,15.2,39,NNW,22 12,43 23,1007.9,0.0,2025-10-10
2:20 pm,20.3,14.8,39,NNW,24 13,56 30,1007.9,0.0,2025-10-10
2:00 pm,20.0,14.6,41,NNW,24 13,35 19,1008.0,0.0,2025-10-10
1:30 pm,19.7,14.3,42,NNW,24 13,44 24,1008.4,0.0,2025-10-10
1:00 pm,19.7,15.6,41,NNW,17 9,32 17,1008.6,0.0,2025-10-10
12:30 pm,19.2,14.0,40,NNW,22 12,43 23,1008.4,0.0,2025-10-10
12:00 pm,18.8,13.6,41,NNW,22 12,41 22,1008.6,0.0,2025-10-10
11:30 am,19.0,13.9,43,NNW,22 12,43 23,1008.9,0.0,2025-10-10
11:00 am,18.4,13.0,45,NNW,24 13,52 28,1008.9,0.0,2025-10-10
10:51 am,17.9,11.6,45,NNW,28 15,52 28,1008.7,0.0,2025-10-10
10:30 am,18.4,13.4,45,NNW,22 12,46 25,1008.5,0.0,2025-10-10
10:00 am,17.7,12.6,46,NNW,22 12,37 20,1008.4,0.0,2025-10-10
9:45 am,17.2,10.9,46,NNW,28 15,54 29,1008.5,0.0,2025-10-10
9:30 am,16.8,11.9,46,NNW,20 11,43 23,1008.6,0.0,2025-10-10
9:00 am,16.1,11.2,48,NNW,20 11,39 21,1008.5,0.0,2025-10-10
8:30 am,15.5,10.7,48,NNW,19 10,35 19,1008.3,0.0,2025-10-10
8:00 am,14.8,11.9,50,NNE,9 5,24 13,1008.1,0.0,2025-10-10
7:30 am,14.6,9.7,50,NNW,19 10,39 21,1007.4,0.0,2025-10-10
7:00 am,14.8,10.3,49,NNW,17 9,28 15,1006.7,0.0,2025-10-10
6:30 am,15.2,10.1,48,N,20 11,41 22,1006.1,0.0,2025-10-10
6:00 am,15.2,9.4,49,N,24 13,41 22,1005.7,0.0,2025-10-10
5:30 am,15.3,9.9,49,N,22 12,39 21,1005.9,0.0,2025-10-10
5:00 am,15.3,10.3,49,N,20 11,44 24,1006.2,0.0,2025-10-10
4:30 am,15.5,11.1,48,N,17 9,28 15,1006.5,0.0,2025-10-10
4:00 am,15.2,10.8,50,N,17 9,33 18,1006.9,0.0,2025-10-10
3:30 am,15.1,10.7,49,N,17 9,32 17,1007.3,0.0,2025-10-10
3:00 am,13.9,10.2,52,N,13 7,20 11,1008.1,0.0,2025-10-10
2:30 am,14.6,10.8,49,N,13 7,22 12,1008.3,0.0,2025-10-10
2:00 am,15.1,11.4,48,N,13 7,20 11,1008.6,0.0,2025-10-10
1:30 am,15.0,11.6,48,N,11 6,20 11,1008.9,0.0,2025-10-10
1:00 am,16.0,12.2,45,N,13 7,20 11,1009.4,0.0,2025-10-10
12:30 am,15.8,11.7,46,N,15 8,20 11,1009.7,0.0,2025-10-10
12:00 am,16.1,12.0,45,N,15 8,22 12,1010.0,0.0,2025-10-10
