Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:49 pm,9.5,2.1,59,N,30 16,48 26,1008.8,0.0,2025-10-06
11:30 pm,9.4,1.6,60,N,32 17,43 23,1008.8,0.0,2025-10-06
11:00 pm,9.5,4.1,61,N,20 11,33 18,1009.7,0.0,2025-10-06
10:30 pm,9.9,3.6,56,N,24 13,35 19,1009.2,0.0,2025-10-06
10:00 pm,10.0,3.6,54,N,24 13,39 21,1009.2,0.0,2025-10-06
9:30 pm,9.9,4.3,54,N,20 11,39 21,1008.9,0.0,2025-10-06
9:00 pm,10.1,3.7,53,N,24 13,35 19,1009.0,0.0,2025-10-06
8:30 pm,9.8,3.4,55,N,24 13,35 19,1008.4,0.0,2025-10-06
8:00 pm,10.0,4.1,57,N,22 12,35 19,1008.1,0.0,2025-10-06
7:30 pm,9.8,3.6,59,N,24 13,37 20,1007.8,0.0,2025-10-06
7:00 pm,10.4,4.1,54,N,24 13,44 24,1007.4,0.0,2025-10-06
6:30 pm,10.5,3.8,54,N,26 14,43 23,1006.9,0.0,2025-10-06
6:00 pm,11.3,5.3,50,N,22 12,43 23,1006.5,0.0,2025-10-06
5:52 pm,11.2,4.1,50,N,28 15,43 23,1006.3,0.0,2025-10-06
5:30 pm,11.6,6.7,52,N,17 9,33 18,1006.2,0.0,2025-10-06
5:00 pm,12.6,8.3,46,NNW,13 7,20 11,1006.1,0.0,2025-10-06
4:30 pm,13.2,9.3,43,N,11 6,22 12,1005.7,0.0,2025-10-06
4:00 pm,13.4,8.4,37,NNW,15 8,33 18,1005.2,0.0,2025-10-06
3:30 pm,13.0,7.1,46,N,22 12,41 22,1004.9,0.0,2025-10-06
3:00 pm,12.5,6.0,43,E,24 13,33 18,1004.3,0.0,2025-10-06
2:30 pm,13.7,5.8,35,WNW,30 16,56 30,1003.6,0.0,2025-10-06
2:22 pm,13.6,6.2,37,W,28 15,48 26,1003.3,0.0,2025-10-06
2:00 pm,13.8,8.2,38,NNE,19 10,33 18,1003.1,0.0,2025-10-06
1:32 pm,13.1,5.3,38,NW,30 16,59 32,1002.6,0.0,2025-10-06
1:30 pm,13.5,6.8,36,NW,24 13,52 28,1002.5,0.0,2025-10-06
1:01 pm,13.5,4.4,31,NNW,35 19,67 36,1001.5,0.0,2025-10-06
1:00 pm,13.9,5.4,34,NNW,33 18,70 38,1001.6,0.0,2025-10-06
12:30 pm,13.1,2.0,32,NNW,46 25,87 47,1001.9,0.0,2025-10-06
