Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,23.5,20.3,48,NNE,20 11,–,1003.1,0.0,2025-09-30
11:00 pm,24.3,20.9,44,NNE,20 11,–,1003.5,0.0,2025-09-30
10:30 pm,24.1,21.1,47,NNE,19 10,–,1004.0,0.0,2025-09-30
10:00 pm,23.4,22.2,56,NNE,13 7,–,1004.4,0.0,2025-09-30
9:30 pm,22.6,22.0,65,NNE,13 7,–,1004.9,0.0,2025-09-30
9:00 pm,22.1,20.8,72,NNE,19 10,–,1005.3,0.0,2025-09-30
8:30 pm,21.1,20.0,79,NNE,19 10,–,1005.4,0.0,2025-09-30
8:00 pm,20.9,20.4,82,NNE,17 9,–,1005.5,0.0,2025-09-30
7:30 pm,20.7,19.9,85,NNE,19 10,–,1005.5,0.0,2025-09-30
7:00 pm,20.9,19.2,84,NNE,24 13,–,1005.5,0.0,2025-09-30
6:30 pm,21.1,17.9,83,NNE,32 17,–,1005.7,0.0,2025-09-30
