Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:00 pm,21.7,20.8,56,ENE,9 5,13 7,1017.1,0.0,2025-10-03
5:30 pm,22.4,21.8,53,ENE,7 4,15 8,1016.7,0.0,2025-10-03
5:00 pm,23.2,22.2,50,NE,9 5,17 9,1016.2,0.0,2025-10-03
4:30 pm,23.9,22.7,46,ENE,9 5,17 9,1015.9,0.0,2025-10-03
4:00 pm,24.9,23.5,41,NE,9 5,15 8,1015.3,0.0,2025-10-03
3:30 pm,25.1,23.2,40,ENE,11 6,24 13,1015.5,0.0,2025-10-03
3:00 pm,25.1,22.9,41,ENE,13 7,20 11,1015.3,0.0,2025-10-03
2:30 pm,26.1,25.1,42,ENE,9 5,17 9,1015.4,0.0,2025-10-03
2:00 pm,25.7,23.6,40,ENE,13 7,24 13,1015.4,0.0,2025-10-03
1:30 pm,25.9,23.8,36,NE,11 6,24 13,1015.5,0.0,2025-10-03
1:00 pm,25.9,23.7,35,NE,11 6,22 12,1015.7,0.0,2025-10-03
12:30 pm,26.9,24.3,30,NE,11 6,19 10,1015.9,0.0,2025-10-03
12:00 pm,26.8,24.3,31,ENE,11 6,19 10,1016.1,0.0,2025-10-03
11:30 am,26.8,24.6,30,ENE,9 5,15 8,1016.3,0.0,2025-10-03
11:00 am,27.5,24.9,21,WSW,6 3,9 5,1016.7,0.0,2025-10-03
10:30 am,26.8,23.8,20,SW,7 4,13 7,1016.9,0.0,2025-10-03
10:00 am,26.6,23.9,21,SSE,6 3,11 6,1017.0,0.0,2025-10-03
9:30 am,26.4,23.9,23,WSW,6 3,11 6,1017.2,0.0,2025-10-03
9:00 am,25.7,23.4,26,SSW,6 3,11 6,1017.1,0.0,2025-10-03
8:30 am,24.6,22.1,26,SSW,6 3,11 6,1017.1,0.0,2025-10-03
8:00 am,23.2,21.0,27,SW,4 2,9 5,1017.0,0.0,2025-10-03
7:30 am,22.0,19.6,31,WSW,6 3,11 6,1016.8,0.0,2025-10-03
7:00 am,20.0,17.6,35,SW,6 3,9 5,1016.5,0.0,2025-10-03
6:30 am,17.5,16.0,49,SW,4 2,9 5,1016.3,0.0,2025-10-03
6:00 am,15.8,14.4,56,SW,4 2,7 4,1015.9,0.0,2025-10-03
5:30 am,12.6,11.8,74,S,2 1,4 2,1015.4,0.0,2025-10-03
5:00 am,13.0,12.3,75,SE,2 1,6 3,1014.9,0.0,2025-10-03
4:30 am,12.9,12.4,72,CALM,0 0,0 0,1014.4,0.0,2025-10-03
4:00 am,13.5,13.0,69,CALM,0 0,0 0,1014.1,0.0,2025-10-03
3:30 am,13.6,13.1,68,CALM,0 0,0 0,1013.8,0.0,2025-10-03
3:00 am,14.5,13.9,63,CALM,0 0,0 0,1013.6,0.0,2025-10-03
2:30 am,15.2,14.4,57,CALM,0 0,0 0,1013.4,0.0,2025-10-03
2:00 am,16.0,15.0,50,CALM,0 0,0 0,1013.2,0.0,2025-10-03
1:30 am,17.0,15.7,42,CALM,0 0,0 0,1013.2,0.0,2025-10-03
1:00 am,18.5,17.0,35,CALM,0 0,0 0,1013.0,0.0,2025-10-03
12:30 am,20.0,18.4,31,CALM,0 0,6 3,1013.2,0.0,2025-10-03
12:00 am,21.4,19.4,28,W,2 1,6 3,1013.2,0.0,2025-10-03
