Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.2,10.9,75,N,11 6,17 9,1016.1,0.0,2023-06-15
11:00 pm,13.4,10.7,74,NNW,13 7,20 11,1016.2,0.0,2023-06-15
10:30 pm,13.8,10.8,74,N,15 8,20 11,1016.3,0.0,2023-06-15
10:00 pm,13.3,11.1,78,N,11 6,15 8,1016.1,0.0,2023-06-15
9:30 pm,13.1,10.9,79,N,11 6,17 9,1016.0,0.0,2023-06-15
9:00 pm,13.6,11.1,77,N,13 7,24 13,1015.9,0.0,2023-06-15
8:30 pm,13.9,11.8,76,N,11 6,17 9,1015.6,0.0,2023-06-15
8:00 pm,14.1,11.7,76,N,13 7,22 12,1015.5,0.0,2023-06-15
7:30 pm,14.2,12.1,75,N,11 6,17 9,1015.4,0.0,2023-06-15
7:00 pm,14.3,12.2,74,N,11 6,17 9,1015.1,0.0,2023-06-15
6:30 pm,14.3,11.8,74,N,13 7,19 10,1015.0,0.0,2023-06-15
6:00 pm,14.5,12.3,72,N,11 6,17 9,1014.6,0.0,2023-06-15
5:30 pm,14.8,12.6,69,N,11 6,15 8,1014.2,0.0,2023-06-15
5:00 pm,14.8,12.5,68,N,11 6,17 9,1013.9,0.0,2023-06-15
4:30 pm,15.0,12.3,67,N,13 7,20 11,1013.7,0.0,2023-06-15
4:00 pm,14.9,11.8,67,NNW,15 8,20 11,1013.6,0.0,2023-06-15
3:30 pm,15.1,11.2,65,NNW,19 10,26 14,1013.3,0.0,2023-06-15
3:00 pm,15.2,12.5,66,N,13 7,19 10,1012.9,0.0,2023-06-15
2:30 pm,15.5,11.9,63,N,17 9,26 14,1012.7,0.0,2023-06-15
2:00 pm,15.3,11.4,65,NNW,19 10,28 15,1012.8,0.0,2023-06-15
1:30 pm,14.8,11.8,70,N,15 8,20 11,1012.9,0.0,2023-06-15
1:00 pm,14.0,11.3,72,N,13 7,20 11,1013.2,0.0,2023-06-15
12:30 pm,13.9,11.2,73,N,13 7,20 11,1013.2,0.0,2023-06-15
12:00 pm,13.6,11.0,76,N,13 7,22 12,1013.5,0.0,2023-06-15
11:30 am,13.6,10.3,76,N,17 9,30 16,1014.1,0.0,2023-06-15
11:00 am,13.9,10.4,71,N,17 9,24 13,1014.2,0.0,2023-06-15
10:30 am,14.1,10.6,71,N,17 9,26 14,1014.1,0.0,2023-06-15
10:00 am,13.8,10.3,72,N,17 9,24 13,1014.1,0.0,2023-06-15
9:30 am,13.2,9.3,73,N,19 10,26 14,1014.0,0.0,2023-06-15
9:00 am,12.6,8.6,75,N,19 10,28 15,1014.1,0.0,2023-06-15
8:30 am,11.7,8.4,79,N,15 8,28 15,1014.1,0.0,2023-06-15
8:00 am,10.9,7.5,81,N,15 8,24 13,1014.1,0.0,2023-06-15
7:30 am,10.8,7.4,81,N,15 8,20 11,1014.0,0.0,2023-06-15
7:00 am,11.0,7.2,80,N,17 9,28 15,1013.7,0.0,2023-06-15
6:30 am,10.8,7.4,81,N,15 8,24 13,1013.5,0.0,2023-06-15
