Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.5,13.9,86,CALM,0 0,0 0,1019.1,0.0,2025-09-27
11:00 pm,14.0,14.0,83,SW,2 1,7 4,1019.3,0.0,2025-09-27
10:30 pm,14.3,14.7,81,CALM,0 0,0 0,1019.6,0.0,2025-09-27
10:00 pm,14.7,15.1,79,CALM,0 0,0 0,1019.9,0.0,2025-09-27
9:30 pm,15.2,14.8,77,SW,4 2,7 4,1020.1,0.0,2025-09-27
9:00 pm,15.3,15.2,75,WSW,2 1,6 3,1019.9,0.0,2025-09-27
8:30 pm,15.6,14.6,74,SW,7 4,13 7,1020.2,0.0,2025-09-27
8:00 pm,15.0,14.2,77,SW,6 3,9 5,1020.0,0.0,2025-09-27
7:30 pm,15.5,14.9,72,SW,4 2,7 4,1020.0,0.0,2025-09-27
7:00 pm,16.1,15.1,69,SW,6 3,11 6,1019.9,0.0,2025-09-27
6:30 pm,16.8,14.9,66,SW,11 6,19 10,1020.0,0.0,2025-09-27
6:00 pm,17.1,15.2,65,SW,11 6,17 9,1020.1,0.0,2025-09-27
5:30 pm,17.4,15.1,64,SSW,13 7,20 11,1020.0,0.0,2025-09-27
5:00 pm,17.7,15.4,63,SW,13 7,20 11,1020.1,0.0,2025-09-27
4:30 pm,18.1,15.9,62,SW,13 7,24 13,1020.0,0.0,2025-09-27
