Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
4:00 pm,16.8,16.8,96,SW,11 6,19 10,1013.4,7.0,2025-10-04
3:30 pm,16.8,17.1,95,SW,9 5,17 9,1013.1,5.6,2025-10-04
3:00 pm,16.7,15.4,95,SW,17 9,30 16,1013.1,5.2,2025-10-04
2:30 pm,17.6,16.4,91,SW,17 9,28 15,1012.9,4.8,2025-10-04
2:00 pm,18.2,17.2,91,SW,17 9,26 14,1012.6,4.6,2025-10-04
1:30 pm,18.7,19.1,97,WSW,13 7,24 13,1012.4,4.6,2025-10-04
1:00 pm,19.1,19.2,95,WNW,15 8,26 14,1012.1,2.8,2025-10-04
12:30 pm,19.1,19.6,96,W,13 7,22 12,1012.3,1.8,2025-10-04
12:00 pm,22.3,20.4,64,NW,19 10,32 17,1012.1,0.0,2025-10-04
11:30 am,22.0,20.7,68,NNW,17 9,28 15,1012.0,0.0,2025-10-04
11:00 am,22.5,21.5,69,NW,17 9,32 17,1012.1,0.0,2025-10-04
10:30 am,21.6,19.8,71,NW,20 11,39 21,1012.3,0.0,2025-10-04
10:00 am,21.7,19.8,69,NNW,20 11,37 20,1012.3,0.0,2025-10-04
9:30 am,20.7,19.7,77,NNW,17 9,28 15,1012.3,0.0,2025-10-04
9:00 am,18.9,18.2,85,NNW,15 8,32 17,1012.2,4.4,2025-10-04
8:30 am,18.5,18.8,91,N,11 6,20 11,1012.1,4.2,2025-10-04
8:00 am,16.6,16.1,95,NNE,13 7,22 12,1011.9,4.2,2025-10-04
7:30 am,16.4,16.3,98,N,11 6,20 11,1012.2,4.2,2025-10-04
7:00 am,16.3,16.1,97,N,11 6,19 10,1012.3,4.0,2025-10-04
6:30 am,16.0,16.2,98,N,9 5,17 9,1012.2,4.0,2025-10-04
6:00 am,15.5,15.9,98,NNE,7 4,11 6,1011.9,4.0,2025-10-04
5:30 am,15.2,15.1,98,NNE,9 5,13 7,1011.9,4.0,2025-10-04
5:00 am,15.4,15.9,97,NNW,6 3,9 5,1011.9,1.6,2025-10-04
4:30 am,15.4,15.6,96,NNE,7 4,13 7,1011.4,0.6,2025-10-04
4:00 am,15.5,15.4,97,NNE,9 5,15 8,1011.3,0.6,2025-10-04
3:30 am,15.8,15.4,96,N,11 6,17 9,1011.1,0.6,2025-10-04
3:00 am,16.1,15.1,84,N,11 6,19 10,1011.2,0.0,2025-10-04
2:30 am,15.5,14.9,88,N,9 5,13 7,1011.3,0.0,2025-10-04
2:00 am,15.2,14.5,88,NNE,9 5,13 7,1011.4,0.0,2025-10-04
1:30 am,14.9,14.2,89,NNE,9 5,15 8,1011.6,0.0,2025-10-04
1:00 am,14.8,14.5,90,NNE,7 4,13 7,1011.8,0.0,2025-10-04
12:30 am,14.8,14.7,90,N,6 3,9 5,1012.0,0.0,2025-10-04
12:00 am,15.1,15.4,90,N,4 2,7 4,1012.2,0.0,2025-10-04
