Time (AEDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
7:00 pm,20.7,20.0,77,SSE,15 8,35 19,1008.0,0.0,2024-12-07
6:30 pm,22.1,21.6,72,S,15 8,32 17,1007.3,0.0,2024-12-07
6:00 pm,23.4,23.6,70,S,13 7,24 13,1006.7,0.0,2024-12-07
5:30 pm,25.1,26.0,66,S,11 6,26 14,1006.3,0.0,2024-12-07
5:00 pm,24.8,24.5,67,S,17 9,32 17,1006.3,0.0,2024-12-07
4:30 pm,25.0,25.3,65,SSW,13 7,28 15,1006.2,0.0,2024-12-07
4:00 pm,25.5,26.2,67,S,13 7,28 15,1006.4,0.0,2024-12-07
3:30 pm,25.9,27.4,65,S,9 5,22 12,1006.6,0.0,2024-12-07
3:00 pm,26.0,27.3,66,SSW,11 6,26 14,1006.7,0.0,2024-12-07
2:30 pm,25.7,26.6,67,SSW,13 7,28 15,1006.9,0.0,2024-12-07
2:00 pm,25.6,27.1,70,S,11 6,20 11,1007.1,0.0,2024-12-07
1:30 pm,24.6,25.9,72,S,11 6,24 13,1007.2,0.0,2024-12-07
1:00 pm,26.0,26.6,67,S,15 8,26 14,1007.2,0.0,2024-12-07
12:30 pm,24.2,25.2,71,S,11 6,24 13,1007.4,0.0,2024-12-07
12:00 pm,25.3,26.1,68,SSW,13 7,20 11,1007.2,0.0,2024-12-07
11:30 am,24.9,26.3,68,SSW,9 5,17 9,1007.0,0.0,2024-12-07
11:00 am,26.5,27.3,60,SSW,11 6,22 12,1006.8,0.0,2024-12-07
10:30 am,26.5,27.8,61,WNW,9 5,20 11,1006.9,0.0,2024-12-07
10:00 am,25.5,25.8,66,N,15 8,20 11,1007.0,0.0,2024-12-07
9:30 am,24.0,24.7,73,N,13 7,19 10,1007.1,0.0,2024-12-07
9:00 am,23.4,24.4,79,N,13 7,20 11,1007.1,3.8,2024-12-07
8:30 am,22.1,23.6,87,N,11 6,17 9,1007.0,3.8,2024-12-07
8:00 am,21.7,23.4,86,N,9 5,15 8,1007.0,3.4,2024-12-07
7:30 am,20.3,21.5,88,NNE,9 5,13 7,1007.1,3.4,2024-12-07
7:00 am,19.5,20.7,92,NNE,9 5,15 8,1007.2,3.4,2024-12-07
6:30 am,19.8,21.1,84,NNE,6 3,11 6,1007.6,3.2,2024-12-07
6:28 am,19.7,21.3,84,N,4 2,11 6,1007.8,3.0,2024-12-07
6:06 am,20.4,21.4,78,WSW,6 3,11 6,1008.6,2.0,2024-12-07
6:00 am,20.9,22.6,75,SW,2 1,9 5,1008.7,0.8,2024-12-07
5:30 am,20.7,23.0,78,CALM,0 0,0 0,1007.8,0.6,2024-12-07
5:00 am,21.1,22.8,73,SE,2 1,7 4,1007.5,0.6,2024-12-07
4:30 am,21.1,23.1,73,CALM,0 0,6 3,1007.6,0.6,2024-12-07
4:00 am,20.7,23.1,80,CALM,0 0,0 0,1007.5,0.6,2024-12-07
3:30 am,20.8,23.1,78,CALM,0 0,0 0,1007.4,0.6,2024-12-07
3:00 am,21.3,22.4,74,N,6 3,9 5,1007.8,0.6,2024-12-07
2:30 am,20.8,22.3,73,NNW,2 1,7 4,1007.8,0.6,2024-12-07
2:00 am,20.7,23.1,79,CALM,0 0,2 1,1008.1,0.6,2024-12-07
1:30 am,21.0,22.0,75,NNW,6 3,9 5,1008.3,0.6,2024-12-07
1:00 am,21.1,22.8,73,NNW,2 1,7 4,1008.6,0.6,2024-12-07
12:30 am,21.1,21.8,73,N,7 4,9 5,1009.0,0.6,2024-12-07
12:00 am,21.1,21.9,74,N,7 4,11 6,1009.4,0.6,2024-12-07
