Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 pm,18.0,14.5,50,W,15 8,24 13,1012.7,0.0,2025-10-09
6:00 pm,18.6,14.6,46,W,17 9,26 14,1012.8,0.0,2025-10-09
5:30 pm,19.0,15.3,48,W,17 9,28 15,1013.1,0.0,2025-10-09
5:00 pm,18.9,14.7,50,WNW,20 11,33 18,1013.2,0.0,2025-10-09
4:30 pm,19.3,15.1,46,W,19 10,32 17,1013.2,0.0,2025-10-09
4:00 pm,19.3,15.1,46,WNW,19 10,32 17,1013.4,0.0,2025-10-09
3:30 pm,18.8,14.1,49,NW,22 12,37 20,1013.4,0.0,2025-10-09
3:00 pm,19.3,14.7,49,WNW,22 12,41 22,1013.4,0.0,2025-10-09
2:30 pm,19.1,14.9,50,WNW,20 11,32 17,1013.5,0.0,2025-10-09
2:00 pm,19.4,15.2,49,W,20 11,32 17,1013.8,0.0,2025-10-09
1:30 pm,18.7,14.3,53,W,22 12,32 17,1013.9,0.0,2025-10-09
1:00 pm,18.9,15.3,59,WNW,20 11,33 18,1014.2,0.0,2025-10-09
12:30 pm,17.8,13.2,59,W,24 13,33 18,1014.2,0.0,2025-10-09
12:00 pm,17.2,13.0,62,W,22 12,37 20,1014.3,0.0,2025-10-09
11:30 am,17.1,13.3,62,WNW,20 11,35 19,1014.3,0.0,2025-10-09
11:00 am,16.9,12.7,63,W,22 12,33 18,1014.2,0.0,2025-10-09
10:30 am,15.9,12.1,73,W,22 12,35 19,1014.2,0.0,2025-10-09
10:00 am,15.8,11.8,70,W,22 12,35 19,1013.9,0.0,2025-10-09
9:30 am,16.3,13.0,71,WNW,19 10,32 17,1013.6,0.0,2025-10-09
9:00 am,15.4,12.0,72,WNW,19 10,32 17,1013.4,0.0,2025-10-09
8:30 am,15.0,10.8,71,WNW,22 12,35 19,1013.1,0.0,2025-10-09
8:00 am,14.4,11.2,75,WNW,17 9,30 16,1012.9,0.0,2025-10-09
7:30 am,13.9,11.0,76,NW,15 8,22 12,1012.7,0.0,2025-10-09
7:00 am,13.4,11.3,78,WNW,11 6,17 9,1012.5,0.0,2025-10-09
6:30 am,13.3,10.6,75,WNW,13 7,20 11,1012.1,0.0,2025-10-09
6:00 am,13.2,10.9,75,WNW,11 6,17 9,1011.8,0.0,2025-10-09
5:30 am,12.9,10.8,73,WNW,9 5,15 8,1011.4,0.0,2025-10-09
5:00 am,13.0,10.9,72,WNW,9 5,17 9,1011.2,0.0,2025-10-09
4:30 am,13.0,10.5,72,WNW,11 6,19 10,1011.0,0.0,2025-10-09
4:00 am,12.9,10.3,71,WNW,11 6,19 10,1010.9,0.0,2025-10-09
3:30 am,13.1,10.1,70,WNW,13 7,20 11,1011.1,0.0,2025-10-09
3:00 am,13.4,10.2,71,WNW,15 8,20 11,1011.3,0.0,2025-10-09
2:30 am,14.0,11.5,75,W,13 7,20 11,1011.2,0.0,2025-10-09
2:00 am,14.4,11.3,76,W,17 9,26 14,1011.0,0.0,2025-10-09
1:30 am,14.6,12.3,77,W,13 7,19 10,1011.0,0.0,2025-10-09
1:00 am,14.4,12.8,83,WNW,11 6,19 10,1011.1,0.0,2025-10-09
12:30 am,14.4,13.2,83,WNW,9 5,15 8,1011.2,0.0,2025-10-09
12:00 am,14.2,12.5,82,W,11 6,15 8,1011.1,0.0,2025-10-09
