Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
6:30 am,13.3,10.6,75,WNW,13 7,20 11,1012.1,0.0,2025-10-09
6:00 am,13.2,10.9,75,WNW,11 6,17 9,1011.8,0.0,2025-10-09
5:30 am,12.9,10.8,73,WNW,9 5,15 8,1011.4,0.0,2025-10-09
5:00 am,13.0,10.9,72,WNW,9 5,17 9,1011.2,0.0,2025-10-09
4:30 am,13.0,10.5,72,WNW,11 6,19 10,1011.0,0.0,2025-10-09
4:00 am,12.9,10.3,71,WNW,11 6,19 10,1010.9,0.0,2025-10-09
3:30 am,13.1,10.1,70,WNW,13 7,20 11,1011.1,0.0,2025-10-09
3:00 am,13.4,10.2,71,WNW,15 8,20 11,1011.3,0.0,2025-10-09
2:30 am,14.0,11.5,75,W,13 7,20 11,1011.2,0.0,2025-10-09
2:00 am,14.4,11.3,76,W,17 9,26 14,1011.0,0.0,2025-10-09
1:30 am,14.6,12.3,77,W,13 7,19 10,1011.0,0.0,2025-10-09
1:00 am,14.4,12.8,83,WNW,11 6,19 10,1011.1,0.0,2025-10-09
12:30 am,14.4,13.2,83,WNW,9 5,15 8,1011.2,0.0,2025-10-09
12:00 am,14.2,12.5,82,W,11 6,15 8,1011.1,0.0,2025-10-09
