Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,10.5,6.5,77,N,17 9,24 13,1007.0,0.2,2025-06-06
11:00 pm,10.4,6.4,78,N,17 9,30 16,1007.3,0.2,2025-06-06
10:30 pm,10.6,6.0,77,N,20 11,32 17,1007.6,0.2,2025-06-06
10:00 pm,10.9,6.4,76,N,20 11,37 20,1008.1,0.2,2025-06-06
9:30 pm,11.1,6.1,74,N,22 12,41 22,1008.6,0.2,2025-06-06
9:00 pm,11.2,6.2,72,N,22 12,35 19,1008.6,0.2,2025-06-06
8:30 pm,11.8,7.0,66,NNW,20 11,39 21,1008.6,0.2,2025-06-06
8:00 pm,12.0,6.8,64,N,22 12,43 23,1008.7,0.0,2025-06-06
7:30 pm,12.4,6.6,59,NNW,24 13,41 22,1008.9,0.0,2025-06-06
7:00 pm,13.3,8.0,50,N,20 11,32 17,1008.5,0.0,2025-06-06
6:30 pm,14.3,7.4,45,N,28 15,54 29,1008.4,0.0,2025-06-06
6:02 pm,14.7,7.6,41,N,28 15,50 27,1008.0,0.0,2025-06-06
