Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,14.1,8.0,46,W,24 13,–,1014.5,0.0,2025-10-02
11:00 pm,14.1,8.7,46,W,20 11,–,1014.6,0.0,2025-10-02
10:30 pm,14.3,7.3,44,W,28 15,–,1014.3,0.0,2025-10-02
10:00 pm,14.4,8.3,46,W,24 13,–,1014.3,0.0,2025-10-02
9:30 pm,14.5,7.5,43,W,28 15,–,1014.0,0.0,2025-10-02
9:00 pm,14.7,8.1,43,W,26 14,–,1013.8,0.0,2025-10-02
8:30 pm,14.8,8.3,44,W,26 14,–,1013.9,0.0,2025-10-02
8:00 pm,15.0,6.4,43,W,37 20,–,1013.8,0.0,2025-10-02
7:30 pm,15.5,7.6,38,WSW,32 17,–,1013.2,0.0,2025-10-02
7:00 pm,16.2,8.9,34,W,28 15,–,1013.2,0.0,2025-10-02
6:30 pm,16.4,7.8,34,W,35 19,–,1012.1,0.0,2025-10-02
6:00 pm,17.1,6.9,34,W,44 24,–,1010.9,0.0,2025-10-02
5:30 pm,18.0,7.4,32,W,46 25,–,1010.7,0.0,2025-10-02
5:00 pm,18.7,8.5,31,W,44 24,–,1009.8,0.0,2025-10-02
4:30 pm,19.2,8.8,37,W,48 26,–,1009.4,0.0,2025-10-02
4:00 pm,19.5,12.3,38,WSW,32 17,–,1008.4,0.0,2025-10-02
3:30 pm,21.8,11.5,28,W,46 25,–,1007.3,0.0,2025-10-02
3:00 pm,22.9,13.9,26,W,39 21,–,1006.7,0.0,2025-10-02
2:30 pm,24.5,15.7,26,W,39 21,–,1006.6,0.0,2025-10-02
2:00 pm,24.3,15.0,25,W,41 22,–,1006.5,0.0,2025-10-02
1:30 pm,24.3,16.5,25,W,33 18,–,1006.4,0.0,2025-10-02
1:00 pm,24.7,16.8,23,W,33 18,–,1006.0,0.0,2025-10-02
12:30 pm,24.9,18.5,24,WNW,26 14,–,1006.2,0.0,2025-10-02
12:00 pm,24.3,16.0,23,WNW,35 19,–,1006.3,0.0,2025-10-02
11:30 am,24.4,17.7,26,WNW,28 15,–,1006.5,0.0,2025-10-02
11:00 am,24.3,17.3,27,NW,30 16,–,1006.9,0.0,2025-10-02
10:30 am,23.4,17.5,28,WNW,24 13,–,1007.2,0.0,2025-10-02
10:00 am,22.9,17.6,27,NW,20 11,–,1007.5,0.0,2025-10-02
9:30 am,22.2,17.1,29,NNW,19 10,–,1008.1,0.0,2025-10-02
9:00 am,21.7,16.3,33,NNW,22 12,–,1008.6,0.0,2025-10-02
8:30 am,20.5,15.4,34,N,20 11,–,1008.9,0.0,2025-10-02
8:00 am,18.9,13.1,38,NNW,24 13,–,1009.0,0.0,2025-10-02
7:30 am,17.5,12.0,41,N,22 12,–,1008.9,0.0,2025-10-02
7:00 am,16.3,11.3,42,N,19 10,–,1009.1,0.0,2025-10-02
6:30 am,17.0,11.7,39,NNW,20 11,–,1009.1,0.0,2025-10-02
