Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,12.6,11.7,87,N,6 3,9 5,1021.2,0.0,2024-06-05
11:00 pm,12.0,11.0,90,N,6 3,7 4,1021.4,0.0,2024-06-05
10:30 pm,12.4,12.7,90,CALM,0 0,0 0,1021.6,0.0,2024-06-05
10:00 pm,12.7,13.0,88,CALM,0 0,0 0,1022.0,0.0,2024-06-05
9:30 pm,13.3,13.6,86,CALM,0 0,0 0,1021.9,0.0,2024-06-05
9:00 pm,14.0,13.3,84,N,6 3,9 5,1022.0,0.0,2024-06-05
8:30 pm,14.2,14.7,85,CALM,0 0,0 0,1021.9,0.0,2024-06-05
8:00 pm,14.7,15.2,82,CALM,0 0,0 0,1021.9,0.0,2024-06-05
7:30 pm,15.4,14.9,80,N,6 3,6 3,1021.8,0.0,2024-06-05
7:00 pm,15.7,16.1,74,CALM,0 0,0 0,1021.9,0.0,2024-06-05
6:30 pm,16.4,16.7,70,CALM,0 0,0 0,1021.8,0.0,2024-06-05
6:00 pm,17.5,17.7,64,CALM,0 0,0 0,1021.6,0.0,2024-06-05
5:30 pm,19.7,19.6,52,CALM,0 0,0 0,1021.3,0.0,2024-06-05
5:00 pm,21.5,19.5,44,N,9 5,20 11,1021.4,0.0,2024-06-05
4:30 pm,21.7,19.8,44,N,9 5,17 9,1021.2,0.0,2024-06-05
4:00 pm,22.8,20.3,39,N,11 6,20 11,1021.2,0.0,2024-06-05
3:30 pm,22.8,19.5,39,NNE,15 8,26 14,1021.3,0.0,2024-06-05
3:00 pm,23.2,20.6,41,N,13 7,26 14,1021.3,0.0,2024-06-05
2:30 pm,23.3,20.7,41,NNW,13 7,26 14,1021.3,0.0,2024-06-05
2:00 pm,22.9,19.4,40,N,17 9,26 14,1021.4,0.0,2024-06-05
1:30 pm,23.2,20.7,42,NNW,13 7,20 11,1021.7,0.0,2024-06-05
1:00 pm,22.4,19.3,42,N,15 8,28 15,1022.1,0.0,2024-06-05
12:30 pm,22.1,19.0,43,N,15 8,24 13,1022.5,0.0,2024-06-05
12:00 pm,21.6,19.4,46,N,11 6,24 13,1023.0,0.0,2024-06-05
11:30 am,21.1,19.1,50,N,11 6,19 10,1023.5,0.0,2024-06-05
11:00 am,20.7,19.0,55,NNE,11 6,20 11,1024.0,0.0,2024-06-05
10:30 am,19.9,18.3,58,N,11 6,19 10,1024.3,0.0,2024-06-05
10:00 am,19.2,18.4,62,N,7 4,13 7,1024.6,0.0,2024-06-05
9:30 am,18.5,17.3,64,N,9 5,15 8,1024.5,0.0,2024-06-05
9:00 am,17.8,16.6,67,NNE,9 5,17 9,1024.4,0.0,2024-06-05
8:30 am,17.4,16.3,70,NNE,9 5,13 7,1024.2,0.0,2024-06-05
8:00 am,17.0,16.0,74,NNE,9 5,15 8,1023.9,0.0,2024-06-05
7:30 am,16.9,15.9,75,NE,9 5,17 9,1023.7,0.0,2024-06-05
7:00 am,16.6,16.2,80,NE,7 4,9 5,1023.6,0.0,2024-06-05
6:30 am,16.5,16.3,83,NE,7 4,9 5,1023.5,0.0,2024-06-05
6:00 am,16.4,16.3,85,NE,7 4,11 6,1023.3,0.0,2024-06-05
5:30 am,16.5,16.5,86,NE,7 4,11 6,1023.1,0.0,2024-06-05
5:00 am,16.5,16.8,90,NE,7 4,11 6,1023.1,0.0,2024-06-05
4:30 am,16.3,16.9,94,NE,6 3,9 5,1022.9,0.0,2024-06-05
