Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:30 am,10.2,7.3,87,SSW,13 7,20 11,1018.0,10.4,2023-08-22
5:00 am,10.3,6.8,89,SW,17 9,32 17,1017.6,10.4,2023-08-22
4:50 am,10.2,6.7,91,SW,17 9,28 15,1017.5,10.4,2023-08-22
4:31 am,9.7,5.5,91,SW,20 11,39 21,1017.4,10.2,2023-08-22
4:30 am,9.7,5.5,90,SW,20 11,39 21,1017.4,10.2,2023-08-22
4:00 am,10.1,6.0,87,SW,19 10,30 16,1016.7,10.0,2023-08-22
3:59 am,10.1,6.1,88,SW,19 10,32 17,1016.7,10.0,2023-08-22
3:46 am,10.9,6.7,92,SW,22 12,41 22,1016.4,9.8,2023-08-22
3:33 am,10.8,8.4,95,WSW,13 7,22 12,1016.1,9.8,2023-08-22
3:30 am,10.7,8.3,95,WSW,13 7,19 10,1016.1,9.8,2023-08-22
3:12 am,11.2,9.8,98,NNE,9 5,20 11,1015.8,9.2,2023-08-22
3:00 am,11.0,11.1,95,CALM,0 0,6 3,1015.2,8.0,2023-08-22
2:30 am,11.2,10.2,95,SE,6 3,7 4,1015.8,7.8,2023-08-22
2:10 am,11.4,11.3,97,SE,2 1,9 5,1016.2,7.8,2023-08-22
2:00 am,11.5,10.7,97,SSE,6 3,9 5,1016.1,7.8,2023-08-22
1:30 am,11.7,9.9,95,WSW,11 6,17 9,1016.3,4.6,2023-08-22
1:29 am,11.7,9.9,95,WSW,11 6,17 9,1016.1,4.4,2023-08-22
1:00 am,11.7,9.8,93,SSW,11 6,17 9,1015.2,3.6,2023-08-22
12:39 am,11.7,9.8,93,SSW,11 6,20 11,1015.3,3.6,2023-08-22
12:30 am,11.7,9.4,92,SSW,13 7,20 11,1015.4,3.6,2023-08-22
12:18 am,12.4,10.5,89,W,11 6,20 11,1015.5,3.0,2023-08-22
12:00 am,12.6,11.2,90,N,9 5,13 7,1014.9,2.2,2023-08-22
