Time (AWST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,15.6,12.3,55,SW,13 7,24 13,1018.3,2.0,2025-09-28
11:00 pm,15.5,12.7,63,SW,13 7,22 12,1018.3,2.0,2025-09-28
10:30 pm,15.3,12.5,71,SSW,15 8,28 15,1018.4,2.0,2025-09-28
10:00 pm,14.9,12.5,73,SW,13 7,20 11,1018.5,2.0,2025-09-28
9:30 pm,15.4,13.7,69,SW,9 5,20 11,1018.6,2.0,2025-09-28
9:00 pm,15.3,13.7,71,SW,9 5,15 8,1018.4,2.0,2025-09-28
8:30 pm,15.4,14.1,76,SW,9 5,13 7,1018.3,2.0,2025-09-28
8:00 pm,14.9,14.3,85,SSW,7 4,13 7,1018.2,2.0,2025-09-28
7:30 pm,14.5,14.7,91,SSW,4 2,9 5,1017.9,2.0,2025-09-28
7:00 pm,15.1,14.4,82,SW,7 4,11 6,1017.8,1.4,2025-09-28
6:30 pm,14.8,12.5,83,SSW,15 8,32 17,1017.7,1.4,2025-09-28
6:00 pm,16.1,14.1,74,SW,13 7,24 13,1017.7,1.2,2025-09-28
5:30 pm,16.7,14.4,66,SW,13 7,20 11,1017.4,1.2,2025-09-28
5:00 pm,17.4,14.6,62,SW,15 8,26 14,1017.0,1.2,2025-09-28
4:30 pm,17.7,14.5,60,SW,17 9,24 13,1016.9,1.2,2025-09-28
4:00 pm,18.0,15.6,60,SW,13 7,26 14,1016.7,1.2,2025-09-28
3:30 pm,17.9,14.9,63,SW,17 9,28 15,1016.8,1.2,2025-09-28
3:00 pm,17.9,14.4,64,SW,20 11,32 17,1016.7,1.2,2025-09-28
2:30 pm,18.3,14.9,63,SW,20 11,37 20,1016.7,1.2,2025-09-28
2:00 pm,18.5,15.5,60,SW,17 9,30 16,1016.8,1.2,2025-09-28
1:30 pm,18.5,14.9,60,SW,20 11,33 18,1017.1,1.2,2025-09-28
1:00 pm,18.4,15.9,67,SW,17 9,30 16,1017.2,1.2,2025-09-28
12:30 pm,18.0,16.0,71,SW,15 8,26 14,1017.3,1.2,2025-09-28
12:00 pm,16.8,15.5,88,WSW,15 8,26 14,1017.7,1.2,2025-09-28
11:30 am,17.2,16.1,89,SW,15 8,24 13,1017.8,1.0,2025-09-28
11:00 am,18.0,15.9,81,SW,19 10,33 18,1017.9,1.0,2025-09-28
10:30 am,17.8,16.8,87,WSW,15 8,26 14,1018.0,1.0,2025-09-28
10:00 am,17.3,15.8,88,WSW,17 9,32 17,1018.1,1.0,2025-09-28
9:30 am,18.1,18.2,85,WSW,9 5,19 10,1018.2,0.0,2025-09-28
9:00 am,17.0,15.7,87,WSW,15 8,24 13,1018.4,0.2,2025-09-28
8:30 am,18.0,18.0,84,W,9 5,17 9,1018.1,0.0,2025-09-28
8:00 am,17.7,16.3,76,W,13 7,26 14,1017.8,0.0,2025-09-28
7:30 am,17.6,16.8,74,WSW,9 5,15 8,1017.7,0.0,2025-09-28
7:00 am,16.4,16.2,80,WNW,6 3,13 7,1017.5,0.0,2025-09-28
6:30 am,13.6,14.2,89,CALM,0 0,6 3,1017.5,0.0,2025-09-28
6:00 am,12.5,12.7,88,CALM,0 0,0 0,1017.6,0.0,2025-09-28
5:30 am,12.7,13.0,88,CALM,0 0,0 0,1017.6,0.0,2025-09-28
5:00 am,13.1,13.4,86,CALM,0 0,0 0,1017.6,0.0,2025-09-28
4:30 am,13.7,13.9,82,CALM,0 0,6 3,1017.6,0.0,2025-09-28
