Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.4,10.9,79,SW,13 7,22 12,1030.0,0.0,2025-09-23
11:00 pm,13.3,10.9,81,SW,13 7,19 10,1030.1,0.0,2025-09-23
10:30 pm,13.3,11.7,82,SW,9 5,19 10,1030.3,0.0,2025-09-23
10:00 pm,13.4,11.1,82,SW,13 7,24 13,1030.5,0.0,2025-09-23
9:30 pm,13.4,11.1,82,WSW,13 7,20 11,1030.6,0.0,2025-09-23
9:00 pm,13.7,11.7,80,WSW,11 6,20 11,1030.9,0.0,2025-09-23
8:30 pm,13.8,12.4,82,SW,9 5,15 8,1031.1,0.0,2025-09-23
8:00 pm,13.8,12.3,81,SW,9 5,17 9,1031.1,0.0,2025-09-23
7:30 pm,13.8,12.0,82,SW,11 6,17 9,1031.0,0.0,2025-09-23
7:00 pm,13.3,12.5,78,SW,4 2,7 4,1031.0,0.0,2025-09-23
6:30 pm,13.1,12.2,77,SW,4 2,9 5,1030.9,0.0,2025-09-23
6:00 pm,13.3,12.0,76,SW,6 3,7 4,1030.8,0.0,2025-09-23
