Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,12.2,9.9,88,WNW,13 7,20 11,1019.4,1.2,2025-09-20
11:00 pm,12.0,9.6,88,W,13 7,24 13,1019.4,1.2,2025-09-20
10:30 pm,11.9,9.5,88,W,13 7,20 11,1019.5,1.2,2025-09-20
10:00 pm,11.7,9.1,86,W,13 7,20 11,1019.5,1.2,2025-09-20
9:30 pm,11.7,9.9,86,W,9 5,17 9,1019.5,1.2,2025-09-20
9:00 pm,11.5,9.7,87,W,9 5,15 8,1019.4,1.2,2025-09-20
8:30 pm,11.9,8.4,90,WSW,19 10,30 16,1019.7,1.2,2025-09-20
8:00 pm,11.9,10.5,93,W,9 5,17 9,1019.6,1.2,2025-09-20
7:44 pm,11.7,10.7,95,WSW,7 4,13 7,1019.6,1.2,2025-09-20
7:30 pm,11.7,10.3,95,W,9 5,17 9,1019.5,1.2,2025-09-20
7:25 pm,11.7,10.7,95,W,7 4,9 5,1019.5,1.2,2025-09-20
7:00 pm,11.5,11.0,94,W,4 2,7 4,1019.3,1.0,2025-09-20
6:51 pm,11.6,10.7,94,WNW,6 3,9 5,1019.2,1.0,2025-09-20
6:30 pm,11.7,9.4,93,WSW,13 7,22 12,1019.2,0.8,2025-09-20
6:20 pm,11.9,9.9,90,WSW,11 6,20 11,1019.1,0.8,2025-09-20
6:00 pm,12.1,10.9,88,W,7 4,9 5,1018.9,0.8,2025-09-20
5:30 pm,12.3,11.2,89,W,7 4,11 6,1018.9,0.8,2025-09-20
5:11 pm,12.3,10.8,90,WNW,9 5,15 8,1018.8,0.8,2025-09-20
5:00 pm,12.1,9.9,92,W,13 7,20 11,1018.8,0.8,2025-09-20
4:49 pm,11.9,7.8,88,WSW,22 12,32 17,1018.8,0.6,2025-09-20
4:30 pm,13.8,10.2,69,W,17 9,30 16,1018.6,0.6,2025-09-20
4:00 pm,15.2,11.2,64,WSW,19 10,30 16,1018.4,0.6,2025-09-20
3:30 pm,14.3,10.6,66,WSW,17 9,26 14,1018.4,0.6,2025-09-20
3:00 pm,14.3,11.2,63,WSW,13 7,26 14,1018.4,0.6,2025-09-20
2:30 pm,13.8,10.3,65,WSW,15 8,28 15,1018.4,0.6,2025-09-20
2:00 pm,13.7,10.1,71,WSW,17 9,26 14,1018.6,0.6,2025-09-20
1:30 pm,13.5,10.6,70,WSW,13 7,24 13,1018.6,0.6,2025-09-20
1:00 pm,13.7,9.9,66,WSW,17 9,30 16,1018.6,0.6,2025-09-20
12:30 pm,14.0,10.6,66,W,15 8,28 15,1018.7,0.6,2025-09-20
12:00 pm,13.9,10.1,66,SW,17 9,26 14,1018.9,0.6,2025-09-20
11:30 am,14.4,12.1,78,W,13 7,19 10,1019.0,0.6,2025-09-20
11:00 am,12.7,10.5,80,W,11 6,19 10,1019.3,0.6,2025-09-20
10:50 am,12.2,10.6,87,W,9 5,15 8,1019.2,0.6,2025-09-20
10:30 am,11.1,7.9,93,W,17 9,30 16,1019.5,0.6,2025-09-20
10:10 am,11.6,7.7,81,W,19 10,28 15,1019.3,0.0,2025-09-20
10:00 am,13.0,10.2,74,W,13 7,20 11,1019.1,0.0,2025-09-20
9:30 am,13.2,10.9,76,WSW,11 6,22 12,1019.1,0.0,2025-09-20
9:10 am,11.8,9.6,85,W,11 6,19 10,1019.1,0.0,2025-09-20
9:00 am,11.4,8.0,87,WSW,17 9,26 14,1019.1,1.0,2025-09-20
8:59 am,11.5,8.1,86,WSW,17 9,32 17,1019.1,1.0,2025-09-20
8:30 am,13.2,10.2,70,WSW,13 7,22 12,1018.7,0.8,2025-09-20
8:00 am,12.2,9.0,69,WSW,13 7,17 9,1018.2,0.8,2025-09-20
7:30 am,12.1,8.3,66,SW,15 8,24 13,1018.1,0.8,2025-09-20
7:00 am,12.0,8.1,64,SW,15 8,24 13,1017.6,0.8,2025-09-20
6:30 am,11.4,7.4,64,SW,15 8,24 13,1017.3,0.8,2025-09-20
6:00 am,10.6,6.9,66,WSW,13 7,20 11,1017.0,0.8,2025-09-20
