Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
5:30 am,7.0,4.9,93,NNE,6 3,9 5,1032.9,0.0,2025-09-23
5:00 am,6.4,4.2,94,N,6 3,9 5,1032.7,0.0,2025-09-23
4:30 am,6.3,4.2,95,N,6 3,7 4,1032.6,0.0,2025-09-23
4:00 am,6.5,5.5,93,CALM,0 0,6 3,1032.3,0.0,2025-09-23
3:30 am,7.0,5.2,91,ESE,4 2,11 6,1032.2,0.0,2025-09-23
3:00 am,7.5,5.4,88,SE,6 3,9 5,1032.3,0.0,2025-09-23
2:30 am,7.9,5.8,87,SE,6 3,9 5,1032.4,0.0,2025-09-23
2:00 am,6.8,5.7,90,CALM,0 0,0 0,1032.7,0.0,2025-09-23
1:30 am,8.2,6.1,85,SE,6 3,7 4,1033.0,0.0,2025-09-23
1:00 am,8.3,6.2,85,SSE,6 3,9 5,1033.2,0.0,2025-09-23
12:30 am,8.9,6.9,83,SE,6 3,9 5,1033.2,0.0,2025-09-23
12:00 am,8.9,6.8,82,SE,6 3,9 5,1033.4,0.0,2025-09-23
