Time (ACST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,12.2,9.9,88,WNW,13 7,20 11,1019.4,1.2,2025-09-20
11:00 pm,12.0,9.6,88,W,13 7,24 13,1019.4,1.2,2025-09-20
10:30 pm,11.9,9.5,88,W,13 7,20 11,1019.5,1.2,2025-09-20
10:00 pm,11.7,9.1,86,W,13 7,20 11,1019.5,1.2,2025-09-20
9:30 pm,11.7,9.9,86,W,9 5,17 9,1019.5,1.2,2025-09-20
9:00 pm,11.5,9.7,87,W,9 5,15 8,1019.4,1.2,2025-09-20
8:30 pm,11.9,8.4,90,WSW,19 10,30 16,1019.7,1.2,2025-09-20
8:00 pm,11.9,10.5,93,W,9 5,17 9,1019.6,1.2,2025-09-20
7:44 pm,11.7,10.7,95,WSW,7 4,13 7,1019.6,1.2,2025-09-20
7:30 pm,11.7,10.3,95,W,9 5,17 9,1019.5,1.2,2025-09-20
7:25 pm,11.7,10.7,95,W,7 4,9 5,1019.5,1.2,2025-09-20
7:00 pm,11.5,11.0,94,W,4 2,7 4,1019.3,1.0,2025-09-20
6:51 pm,11.6,10.7,94,WNW,6 3,9 5,1019.2,1.0,2025-09-20
6:30 pm,11.7,9.4,93,WSW,13 7,22 12,1019.2,0.8,2025-09-20
6:20 pm,11.9,9.9,90,WSW,11 6,20 11,1019.1,0.8,2025-09-20
6:00 pm,12.1,10.9,88,W,7 4,9 5,1018.9,0.8,2025-09-20
