Time (AEST),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.8,8.2,49,W,22 12,–,1015.5,0.0,2025-09-20
11:00 pm,14.1,8.4,46,W,22 12,–,1015.3,0.0,2025-09-20
10:30 pm,14.3,8.9,45,WSW,20 11,–,1015.1,0.0,2025-09-20
10:00 pm,14.5,9.8,46,W,17 9,–,1014.9,0.0,2025-09-20
9:30 pm,15.0,9.8,42,WSW,19 10,–,1014.6,0.0,2025-09-20
9:00 pm,15.4,10.9,41,WSW,15 8,–,1014.4,0.0,2025-09-20
8:30 pm,15.8,10.1,41,WSW,22 12,–,1014.1,0.0,2025-09-20
8:00 pm,16.1,10.7,40,W,20 11,–,1013.6,0.0,2025-09-20
7:30 pm,16.5,10.7,39,WSW,22 12,–,1013.0,0.0,2025-09-20
7:00 pm,17.2,12.4,37,W,17 9,–,1012.4,0.0,2025-09-20
6:30 pm,17.7,12.2,35,WSW,20 11,–,1011.6,0.0,2025-09-20
