Time (ACDT),Temp (°C),Feels Like (°C),Humidity(%),Wind Direction,Wind Speed (km/h) (knots),Wind Gust (km/h) (knots),Pressure (hPa),Rainfall since 9 am (mm),Date
11:30 pm,13.0,11.0,74,S,9 5,17 9,1019.8,0.0,2025-10-12
11:00 pm,13.2,11.3,76,SSW,9 5,17 9,1019.9,0.0,2025-10-12
10:30 pm,13.7,11.7,72,SSW,9 5,17 9,1019.8,0.0,2025-10-12
10:00 pm,14.1,11.6,67,SSW,11 6,19 10,1019.7,0.0,2025-10-12
9:30 pm,14.4,11.9,67,SW,11 6,20 11,1019.7,0.0,2025-10-12
9:00 pm,14.4,11.9,80,WSW,15 8,24 13,1019.4,0.0,2025-10-12
8:30 pm,14.6,11.5,76,WSW,17 9,32 17,1019.0,0.0,2025-10-12
8:00 pm,15.2,11.5,72,WSW,20 11,33 18,1018.4,0.0,2025-10-12
7:30 pm,15.0,11.9,74,SW,17 9,26 14,1018.2,0.0,2025-10-12
7:00 pm,15.6,12.2,71,SW,19 10,33 18,1017.7,0.0,2025-10-12
